Order Number,Order ID,Date,Status,Store,Warehouse,Item Number,Description,Store SKU,Quantity,Price,Total Price,Discount,Sales Tax,Shipping Charge,Shipping Tax,Gift Wrap Charge,Gift Wrap Tax
912003375345161-8665724618,20012,03/30/2026,Ready To Pick,Target Plus,Default,850022045301,July Home Expandable Kitchen Drawer Organizer - Convenient Plastic Flatware Drawer Organizer/Utensil Holder and Cutlery Tray,JH-DRAW-ORG-GR,1,22.58,22.58,0,0,0.00,0,0,0
902003374801474-8675382839,20011,03/29/2026,Ready To Pick,Target Plus,Default,860001143584,"Silverware Drawer Organizer, Natural",RCW-KITDRAW,1,44.97,44.97,0,0,0.00,0,0,0
902003223191196-8665652407,20010,03/29/2026,Ready To Pick,Target Plus,Default,850022045653,"July Home Refrigerator Mats, pack of 12, LLC/MNT/YLW",RFMAT-SET-12-LMY,1,12.97,12.97,0.65,0,0.00,0,0,0
912003374404640-8675360119,20009,03/29/2026,Ready To Pick,Target Plus,Default,850022045394,"Silicone Squeegee, 11"", Blue",JH-SQG11-BL,1,14.97,14.97,0.75,0,0.00,0,0,0
902003374367450-8647249005,20008,03/29/2026,Ready To Pick,Target Plus,Default,850022045608,"July Home Plastic Cutting Board Set of 3 with Juice Grooves for Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black/Gray)",JH-CUTBO-SET-3-BLGR,1,22.96,22.96,0,0,5.99,0,0,0
912003270223248-8647240995,20007,03/29/2026,Ready To Pick,Target Plus,Default,850009397058,"Utensil Drawer Organizer, Natural",RCW-KITDRAW-5,1,34.97,34.97,1.75,0,0.00,0,0,0
912003374240264-8656977248,20006,03/29/2026,Ready To Pick,Target Plus,Default,850022045349,July Home Flexible Cutting Mats Set of 3,JH-CUTMAT-SET-3,1,7.97,7.97,0,0,0.0,0,0,0
912003374111944-8665544981,20005,03/29/2026,Ready To Pick,Target Plus,Default,850022045608,"July Home Plastic Cutting Board Set of 3 with Juice Grooves for Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black/Gray)",JH-CUTBO-SET-3-BLGR,1,22.96,22.96,1.15,0,0,0,0,0
912003374025734-8647187955,20004,03/29/2026,Ready To Pick,Target Plus,Default,850009397058,"Utensil Drawer Organizer, Natural",RCW-KITDRAW-5,1,34.97,34.97,0,0,0.0,0,0,0
912003373760524-8656898921,20003,03/29/2026,Ready To Pick,Target Plus,Default,860003205150,"Geniani Heating Pad XL, Aqua Blue",G-HPXL-BLU,1,29.97,29.97,0,0,5.99,0,0,0
